
Gurobi 9.5.0 (linux64) logging started Sun Jun 19 11:35:43 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/new0U_R25_M30_N300_seed5_DWcutsCTp5_600.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 18647 rows, 9750 columns and 237955 nonzeros
Model fingerprint: 0x345e0971
Variable types: 0 continuous, 9750 integer (9750 binary)
Coefficient statistics:
  Matrix range     [1e-13, 2e+04]
  Objective range  [1e+00, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e-05, 1e+00]
Warning: Model contains large matrix coefficient range
         Consider reformulating model or setting NumericFocus parameter
         to avoid numerical issues.
Found heuristic solution: objective 0.0000000
Presolve removed 3277 rows and 578 columns
Presolve time: 0.70s
Presolved: 15370 rows, 9172 columns, 183509 nonzeros
Variable types: 0 continuous, 9172 integer (9172 binary)
Found heuristic solution: objective -7727.000000

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
   21068   -1.2190703e+05   8.241919e+04   0.000000e+00      5s
   31362   -1.2132790e+05   0.000000e+00   0.000000e+00     10s

Root relaxation: objective -1.213279e+05, 31362 iterations, 8.97 seconds (14.27 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  4146  2468 -121063.65   61  586 -120717.00 -121288.03  0.47%   420  463s
  4322  2627 -121188.15   35  677 -120717.00 -121287.54  0.47%   416  470s
  4535  2724 -120754.24   72  439 -120717.00 -121285.48  0.47%   413  476s
  4679  2849 -121229.58   26  859 -120717.00 -121285.48  0.47%   415  483s
  4822  3070     cutoff   44      -120717.00 -121285.48  0.47%   417  491s
  5069  3259 -120997.28   65  547 -120717.00 -121283.95  0.47%   415  499s
  5372  3344 -121233.77   30  761 -120717.00 -121282.33  0.47%   409  507s
  5491  3445 -121151.88   41  735 -120717.00 -121282.33  0.47%   417  516s
  5643  3599 -121106.81   64  420 -120717.00 -121282.33  0.47%   424  525s
  5907  3603 -121102.63   25  773 -120717.00 -121282.15  0.47%   423  534s
  5911  3822 -121092.60   26  780 -120717.00 -121281.93  0.47%   423  543s
  6248  4036 -121268.32   31  697 -120717.00 -121280.43  0.47%   419  553s
  6553  4168 -121034.74   32  750 -120717.00 -121279.48  0.47%   419  563s
  6818  4287 -121225.57   32  760 -120717.00 -121279.14  0.47%   421  574s
  7024  4377 -121161.92   49  704 -120717.00 -121279.14  0.47%   427  584s
  7156  4574 -121133.90   65  583 -120717.00 -121279.14  0.47%   436  596s
  7457  4665 -121035.95   87  456 -120717.00 -121279.14  0.47%   439  600s

Cutting planes:
  Gomory: 1
  Cover: 121
  Clique: 16
  MIR: 3
  StrongCG: 2
  GUB cover: 1
  Mod-K: 1
  RLT: 6

Explored 7587 nodes (3363348 simplex iterations) in 600.01 seconds (1247.80 work units)
Thread count was 4 (of 56 available processors)

Solution count 10: -120717 -120713 -120531 ... -120126

Time limit reached
Best objective -1.207170000000e+05, best bound -1.212790000000e+05, gap 0.4656%
