
Gurobi 9.5.0 (linux64) logging started Sat Apr 30 05:34:16 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/new2S_R25_M30_N300_seed7_DWcutsCT1_600.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 2546 rows, 9750 columns and 38311 nonzeros
Model fingerprint: 0x0d0eb01d
Variable types: 0 continuous, 9750 integer (9750 binary)
Coefficient statistics:
  Matrix range     [1e-13, 5e+03]
  Objective range  [2e+01, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e-14, 1e+00]
Warning: Model contains large matrix coefficient range
         Consider reformulating model or setting NumericFocus parameter
         to avoid numerical issues.
Found heuristic solution: objective 0.0000000
Presolve removed 69 rows and 759 columns
Presolve time: 0.09s
Presolved: 2477 rows, 8991 columns, 35244 nonzeros
Variable types: 0 continuous, 8991 integer (8991 binary)
Found heuristic solution: objective -7567.000000

Root relaxation: objective -9.255824e+04, 13363 iterations, 0.82 seconds (0.76 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 12850  8571 -92423.484  120  323 -92275.000 -92558.236  0.31%   305  490s
 13313  8581 -92420.785  202  258 -92275.000 -92558.236  0.31%   304  498s
 13529  9000 -92415.618  227  275 -92275.000 -92558.236  0.31%   304  509s
 14284  9159 -92370.624   63  346 -92275.000 -92558.236  0.31%   300  516s
 14827  9511 -92313.889  137  186 -92275.000 -92558.236  0.31%   298  522s
 15549  9619 -92382.931  216  212 -92275.000 -92558.236  0.31%   295  529s
 15965  9878 -92356.373   99  217 -92275.000 -92558.236  0.31%   291  535s
 16471 10287 -92408.173  115  246 -92275.000 -92558.236  0.31%   289  542s
H16684  9059                    -92323.00000 -92558.236  0.25%   287  542s
 17153  9048 -92403.397   87  312 -92323.000 -92558.236  0.25%   284  549s
H17434  7984                    -92363.00000 -92558.236  0.21%   283  549s
 17676  7980 -92542.312   78  283 -92363.000 -92558.236  0.21%   283  565s
 17976  8220 -92549.249  127  330 -92363.000 -92558.236  0.21%   282  573s
 18409  8237 -92460.617  265  212 -92363.000 -92558.236  0.21%   282  581s
 18617  8497 -92377.487   76  363 -92363.000 -92558.236  0.21%   282  589s
 19034  8871 -92549.113   94  357 -92363.000 -92558.236  0.21%   282  599s
 19703  8670 -92416.121  105  302 -92363.000 -92558.236  0.21%   282  600s

Explored 19731 nodes (5591789 simplex iterations) in 600.00 seconds (1011.02 work units)
Thread count was 4 (of 56 available processors)

Solution count 10: -92363 -92323 -92275 ... -92075

Time limit reached
Best objective -9.236300000000e+04, best bound -9.255800000000e+04, gap 0.2111%
