
Gurobi 9.5.0 (linux64) logging started Mon Apr  4 18:47:58 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/MKAP_20_100_10_6_objLB_1h.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 321 rows, 2200 columns and 6400 nonzeros
Model fingerprint: 0x474cb60e
Variable types: 0 continuous, 2200 integer (2200 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+03]
  Objective range  [1e+01, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 4e+04]
Found heuristic solution: objective 0.0000000
Presolve removed 20 rows and 20 columns
Presolve time: 0.02s
Presolved: 301 rows, 2180 columns, 6360 nonzeros
Variable types: 0 continuous, 2180 integer (2180 binary)
Found heuristic solution: objective -18216.00000

Root relaxation: objective -4.013000e+04, 693 iterations, 0.01 seconds (0.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -40130.000    0   53 -18216.000 -40130.000   120%     -    0s
H    0     0                    -35751.00000 -40130.000  12.2%     -    0s
H    0     0                    -36702.00000 -40130.000  9.34%     -    0s
H    0     0                    -37071.00000 -40130.000  8.25%     -    0s
 2522281 929346     cutoff   53      -39772.000 -40130.000  0.90%  32.4 1135s
 2530150 933090 -40130.000   48   69 -39772.000 -40130.000  0.90%  32.5 1140s
 2538319 937070 -40052.305   68   70 -39772.000 -40130.000  0.90%  32.5 1145s
 2548619 941870 -40007.921   64   72 -39772.000 -40130.000  0.90%  32.5 1150s
 2555332 944778 -40004.160   48   83 -39772.000 -40130.000  0.90%  32.6 1155s
 2565653 950085 -40030.584   33   75 -39772.000 -40130.000  0.90%  32.6 1160s
 2572173 953426 -40081.433   48   74 -39772.000 -40130.000  0.90%  32.7 1165s
 2582157 958065     cutoff   70      -39772.000 -40130.000  0.90%  32.7 1170s
 2589549 961520 -39897.877   60   62 -39772.000 -40130.000  0.90%  32.8 1175s
 2598583 965441 -40130.000   54   55 -39772.000 -40130.000  0.90%  32.9 1180s
 2606930 969236 -39932.089   59   63 -39772.000 -40130.000  0.90%  32.9 1185s
 2617565 973376 -39924.433   72   48 -39772.000 -40130.000  0.90%  32.9 1190s
 2626179 976937 -39824.840   94   56 -39772.000 -40130.000  0.90%  33.0 1195s
 2635682 980653 -40002.698   48   66 -39772.000 -40130.000  0.90%  33.0 1200s
 2642867 983610 -39929.996   66   59 -39772.000 -40130.000  0.90%  33.1 1205s
 2650594 987584 -39933.897   58   58 -39772.000 -40130.000  0.90%  33.1 1210s
 2658547 994137 -39950.228   48   79 -39772.000 -40130.000  0.90%  33.1 1216s
 2666416 996839     cutoff   43      -39772.000 -40130.000  0.90%  33.2 1220s
 2679909 1004411     cutoff   70      -39772.000 -40130.000  0.90%  33.2 1225s
 2689032 1009451 -39813.482   65   56 -39772.000 -40130.000  0.90%  33.2 1230s
 2702974 1016562 -40130.000   67   58 -39772.000 -40130.000  0.90%  33.2 1235s
 2717060 1023743 -40013.180   64   48 -39772.000 -40130.000  0.90%  33.2 1240s
 2726312 1028204 -39887.295   63   55 -39772.000 -40130.000  0.90%  33.2 1245s
 2742341 1036166 -39808.301   57   44 -39772.000 -40130.000  0.90%  33.2 1250s
 2753313 1041902     cutoff   94      -39772.000 -40130.000  0.90%  33.2 1255s
 2764216 1047792 -40078.125   69   70 -39772.000 -40130.000  0.90%  33.1 1260s
 2779300 1055215 -40118.420   62   49 -39772.000 -40130.000  0.90%  33.1 1266s
