
Gurobi 9.5.0 (linux64) logging started Mon Apr  4 19:48:02 2022

Set parameter LogFile to value "/local_workspace/chenrui/LogFiles/MKAP/MKAP_20_100_10_6_DWcuts_1h.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 56 physical cores, 56 logical processors, using up to 4 threads
Optimize a model with 520 rows, 2200 columns and 6600 nonzeros
Model fingerprint: 0x607dd556
Variable types: 0 continuous, 2200 integer (2200 binary)
Coefficient statistics:
  Matrix range     [1e-10, 2e+03]
  Objective range  [1e+01, 1e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e-13, 1e+00]
Warning: Model contains large matrix coefficient range
         Consider reformulating model or setting NumericFocus parameter
         to avoid numerical issues.
Found heuristic solution: objective 0.0000000
Presolve removed 2 rows and 1 columns
Presolve time: 0.02s
Presolved: 518 rows, 2199 columns, 6567 nonzeros
Variable types: 0 continuous, 2199 integer (2199 binary)
Found heuristic solution: objective -4827.000000

Root relaxation: objective -4.013020e+04, 3543 iterations, 0.06 seconds (0.07 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -40130.198    0   63 -4827.0000 -40130.198   731%     -    0s
H    0     0                    -36603.00000 -40130.198  9.64%     -    0s
H    0     0                    -37669.00000 -40130.198  6.53%     -    0s
H    0     0                    -38121.00000 -40130.198  5.27%     -    0s
H    0     0                    -38373.00000 -40130.198  4.58%     -    0s
H    0     0                    -38556.00000 -40130.198  4.08%     -    0s
     0     0 -40130.198    0  128 -38556.000 -40130.198  4.08%     -    0s
H    0     0                    -38732.00000 -40130.198  3.61%     -    0s
 606288 273612 -39691.778   74  115 -39670.000 -40119.428  1.13%  72.3  735s
 611139 275365 -39935.873   62  182 -39670.000 -40119.428  1.13%  72.3  740s
 615648 276126 -39733.079   95  150 -39670.000 -40119.428  1.13%  72.4  745s
 620300 277783 -39837.035   61  143 -39670.000 -40119.428  1.13%  72.5  750s
 625634 279017 -39725.658  104  103 -39670.000 -40119.428  1.13%  72.4  755s
 630519 280352 -39706.537   79   87 -39670.000 -40119.428  1.13%  72.4  760s
 635404 281998 -40119.428   47  218 -39670.000 -40119.428  1.13%  72.5  765s
 640395 283303     cutoff   75      -39670.000 -40119.428  1.13%  72.5  770s
 646014 284733 -39847.044   77  176 -39670.000 -40119.428  1.13%  72.5  775s
 650709 286369 -39856.299   82  151 -39670.000 -40119.428  1.13%  72.4  780s
 656241 287835     cutoff   87      -39670.000 -40119.428  1.13%  72.4  785s
 661419 289139 -40112.898   68  167 -39670.000 -40119.428  1.13%  72.4  790s
 666471 290707 -39718.399  104   41 -39670.000 -40119.428  1.13%  72.3  795s
 672094 292167 -40119.313   65  143 -39670.000 -40119.428  1.13%  72.3  800s
 677665 293687 -40118.314   69  178 -39670.000 -40119.428  1.13%  72.2  805s
 683037 295273 -39691.982   89   92 -39670.000 -40119.428  1.13%  72.2  810s
H687569 281627                    -39679.00000 -40119.428  1.11%  72.1  814s
 688112 281808 -40106.979   66  152 -39679.000 -40119.428  1.11%  72.1  815s
 693857 283178 -39924.840   65  161 -39679.000 -40119.428  1.11%  72.1  820s
 698394 284742 -39963.926   64  186 -39679.000 -40119.428  1.11%  72.0  825s
 703800 286037 -39875.291   67  171 -39679.000 -40119.428  1.11%  72.0  830s
 709114 287521 -39908.837   79   81 -39679.000 -40119.428  1.11%  72.0  835s
 714340 288732 -40096.204   67  175 -39679.000 -40119.428  1.11%  72.0  840s
 719721 290121 -39708.362   79  148 -39679.000 -40119.428  1.11%  72.0  845s
 724819 291513 -39689.253  102  124 -39679.000 -40119.428  1.11%  72.0  850s
 730239 292713 -39826.813   79  136 -39679.000 -40119.428  1.11%  72.0  855s
 734844 294041 -39754.221   90  105 -39679.000 -40119.428  1.11%  72.0  860s
 740197 295299 -39801.164   73  152 -39679.000 -40119.173  1.11%  72.0  865s
 745090 296439 -39978.300   93  123 -39679.000 -40118.880  1.11%  72.0  870s
 750465 297820 -40100.957   61  175 -39679.000 -40118.558  1.11%  72.0  875s
 755716 299167 -39938.256   90  172 -39679.000 -40118.259  1.11%  72.0  880s
 760228 300044 -39719.237   77  137 -39679.000 -40118.218  1.11%  72.1  885s
 764756 301212 -39726.297   76  151 -39679.000 -40118.218  1.11%  72.2  890s
 769295 302678 -39896.874   87  164 -39679.000 -40118.061  1.11%  72.2  895s
 775004 303902 -40105.926   73  186 -39679.000 -40117.798  1.11%  72.2  900s
 779515 304998     cutoff   82      -39679.000 -40117.588  1.11%  72.2  905s
 784971 306212 -39687.998   90   96 -39679.000 -40117.244  1.10%  72.2  910s
 790078 307382     cutoff   87      -39679.000 -40117.036  1.10%  72.2  915s
 795529 308664 -39804.696   81  125 -39679.000 -40116.794  1.10%  72.2  920s
 800410 309837 -39768.679   88  100 -39679.000 -40116.570  1.10%  72.2  925s
 806451 310872 -39898.001   66  149 -39679.000 -40116.248  1.10%  72.2  930s
 811797 312117     cutoff   77      -39679.000 -40115.959  1.10%  72.1  935s
 817617 313144 -39742.952   91  128 -39679.000 -40115.660  1.10%  72.1  940s
 822302 314316 -39755.635   71  166 -39679.000 -40115.452  1.10%  72.1  945s
 827582 315705     cutoff   86      -39679.000 -40115.228  1.10%  72.1  950s
 833546 316800 -40097.437   75  166 -39679.000 -40114.921  1.10%  72.1  955s
 838227 317789 -39786.090   54  191 -39679.000 -40114.717  1.10%  72.1  960s
 842606 318711 -39719.424   79  129 -39679.000 -40114.549  1.10%  72.1  965s
 847947 319821 -39763.543   81  150 -39679.000 -40114.393  1.10%  72.2  970s
 852612 321005 -39871.687   60  135 -39679.000 -40114.193  1.10%  72.2  975s
 857643 322150 -39792.808   92  184 -39679.000 -40114.041  1.10%  72.2  980s
