0U	20	50	5	7	608	1099	595	410	317	136	85	60	60	60	
1W	20	50	5	7	551	1099	570	85	25	26	27	27	33	33	
2S	20	50	5	7	608	1099	578	162	30	30	36	44	42	42	
0U	20	50	5	8	589	1099	932	613	500	435	431	414	414	414	
1W	20	50	5	8	627	1099	951	634	539	468	291	386	428	428	
2S	20	50	5	8	532	1099	955	450	315	139	159	295	307	307	
0U	20	50	5	9	589	1099	95	63	27	16	39	32	42	42	
1W	20	50	5	9	570	1099	539	265	74	53	79	83	96	96	
2S	20	50	5	9	589	1099	952	625	335	270	175	149	124	124	
0U	20	50	5	10	570	1099	159	78	36	32	49	39	40	40	
1W	20	50	5	10	608	1099	950	539	443	381	346	327	327	327	
2S	20	50	5	10	570	1099	952	523	479	444	369	379	193	193	
0U	30	50	5	1	928	1649	1382	1183	332	240	421	421	421	421	
1W	30	50	5	1	870	1649	817	113	132	141	108	108	108	108	
2S	30	50	5	1	812	1649	1445	1097	1020	896	892	892	892	892	
0U	30	50	5	2	870	1649	877	167	141	118	118	118	118	118	
1W	30	50	5	2	957	1649	959	786	747	697	697	697	697	697	
2S	30	50	5	2	899	1649	907	707	620	627	627	627	627	627	
0U	30	50	5	3	928	1649	853	664	599	603	552	552	552	552	
1W	30	50	5	3	928	1649	795	632	386	601	601	601	601	601	
2S	30	50	5	3	870	1649	892	65	51	110	103	97	97	97	
0U	30	50	5	4	841	1649	905	733	707	705	705	723	713	713	
1W	30	50	5	4	1015	1649	953	568	494	481	471	467	467	467	
2S	30	50	5	4	841	1649	864	804	822	813	813	813	813	813	
0U	30	50	5	5	899	1649	1412	941	283	564	309	647	647	647	
1W	30	50	5	5	899	1649	881	724	707	651	651	651	651	651	
2S	30	50	5	5	899	1649	1393	1147	837	1074	1070	1066	1066	1066	
0U	30	50	5	6	870	1649	816	60	74	149	131	131	131	131	
1W	30	50	5	6	899	1649	1447	524	373	230	250	250	250	250	
2S	30	50	5	6	957	1649	1445	1077	966	890	890	890	890	890	
0U	30	50	5	7	928	1649	1383	1136	296	236	837	782	782	782	
1W	30	50	5	7	870	1649	1290	986	830	697	694	695	737	737	
2S	30	50	5	7	899	1649	1395	1287	1126	1208	1208	1208	1208	1208	
0U	30	50	5	8	899	1649	1389	1193	1144	1021	1021	1021	1021	1021	
1W	30	50	5	8	986	1649	1424	1240	787	1208	1195	1195	1195	1195	
2S	30	50	5	8	841	1649	891	511	240	276	255	255	255	255	
0U	30	50	5	9	899	1649	1024	777	538	232	188	188	188	188	
1W	30	50	5	9	870	1649	979	729	691	679	688	688	688	688	
2S	30	50	5	9	899	1649	966	766	700	644	581	586	586	586	
0U	30	50	5	10	870	1649	895	649	598	498	493	493	493	493	
1W	30	50	5	10	928	1649	799	507	466	466	466	466	466	466	
2S	30	50	5	10	957	1649	962	655	522	517	515	515	515	515	
0U	40	50	5	1	1248	2199	1120	332	299	299	299	299	299	299	
1W	40	50	5	1	1131	2199	1773	1508	1321	993	993	993	993	993	
2S	40	50	5	1	1248	2199	1333	1459	1459	1459	1459	1459	1459	1459	
0U	40	50	5	2	1170	2199	1592	1428	1309	1370	1370	1370	1370	1370	
1W	40	50	5	2	1248	2199	1840	1712	1279	540	540	540	540	540	
2S	40	50	5	2	1131	2199	1958	1822	1815	1815	1815	1815	1815	1815	
0U	40	50	5	3	1248	2199	1116	283	107	110	110	110	110	110	
1W	40	50	5	3	1170	2199	1695	1815	1830	1826	1826	1826	1826	1826	
2S	40	50	5	3	1170	2199	1159	954	949	985	985	985	985	985	
0U	40	50	5	4	1131	2199	1890	1663	1798	1798	1798	1798	1798	1798	
1W	40	50	5	4	1365	2199	1311	446	446	446	446	446	446	446	
2S	40	50	5	4	1131	2199	1943	1818	1763	1763	1763	1763	1763	1763	
0U	40	50	5	5	1209	2199	1131	315	338	338	338	338	338	338	
1W	40	50	5	5	1209	2199	1898	1834	1643	1766	1766	1766	1766	1766	
2S	40	50	5	5	1288	2199	1152	942	944	761	761	761	761	761	
0U	40	50	5	6	1170	2199	1895	1712	1689	1689	1689	1689	1689	1689	
1W	40	50	5	6	1170	2199	1863	1650	1636	1627	1627	1627	1627	1627	
